id ,cella,distance_cQsW,distance_kpOU,distance_94gJ,distance_Cvj5,distance_cGTg,distance_At5a
215,5,157.195299519,-1000,224.95990907,130.562632641,157.195299519,151.674941902
216,5,188.440101185,-1000,267.494282385,118.788086762,157.195299519,177.85235739
217,5,157.195299519,-1000,224.95990907,157.195299519,157.195299519,151.674941902
218,5,188.440101185,-1000,267.494282385,130.562632641,157.195299519,177.85235739
219,5,172.201474334,-1000,267.494282385,172.201474334,118.788086762,151.674941902
220,5,157.195299519,-1000,267.494282385,172.201474334,157.195299519,169.189657922
221,5,157.195299519,-1000,245.425873323,172.201474334,157.195299519,169.189657922
222,5,157.195299519,-1000,267.494282385,118.788086762,143.341061043,151.674941902
223,5,172.201474334,-1000,267.494282385,118.788086762,130.562632641,151.674941902
224,5,157.195299519,-1000,224.95990907,118.788086762,157.195299519,151.674941902
225,5,172.201474334,-1000,267.494282385,172.201474334,118.788086762,151.674941902
226,5,188.440101185,-1000,267.494282385,130.562632641,157.195299519,151.674941902
227,5,188.440101185,-1000,267.494282385,157.195299519,130.562632641,151.674941902
228,5,172.201474334,-1000,267.494282385,172.201474334,157.195299519,169.189657922
229,5,188.440101185,-1000,267.494282385,143.341061043,143.341061043,169.189657922
230,5,157.195299519,-1000,224.95990907,172.201474334,143.341061043,151.674941902
231,5,172.201474334,-1000,267.494282385,118.788086762,130.562632641,177.85235739
232,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,285.833829424
233,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,316.129711635
234,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,285.833829424
235,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,285.833829424
236,6,72.7272827591,-1000,80.4269627373,188.440101185,107.949509988,285.833829424
237,6,72.7272827591,-1000,88.8276150856,188.440101185,130.562632641,316.129711635
238,6,72.7272827591,-1000,80.4269627373,188.440101185,118.788086762,316.129711635
239,6,72.7272827591,-1000,80.4269627373,188.440101185,118.788086762,316.129711635
240,6,72.7272827591,-1000,88.8276150856,188.440101185,118.788086762,285.833829424
241,6,72.7272827591,-1000,88.8276150856,157.195299519,130.562632641,316.129711635
242,6,72.7272827591,-1000,80.4269627373,157.195299519,118.788086762,285.833829424
243,6,72.7272827591,-1000,80.4269627373,157.195299519,118.788086762,316.129711635
244,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,316.129711635
245,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,316.129711635
246,6,72.7272827591,-1000,80.4269627373,157.195299519,107.949509988,316.129711635
247,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,258.097726879
248,6,72.7272827591,-1000,80.4269627373,172.201474334,118.788086762,316.129711635
249,6,72.7272827591,-1000,80.4269627373,143.341061043,118.788086762,316.129711635
250,6,72.7272827591,-1000,88.8276150856,157.195299519,118.788086762,316.129711635
251,6,72.7272827591,-1000,80.4269627373,157.195299519,118.788086762,316.129711635
252,6,72.7272827591,-1000,80.4269627373,157.195299519,118.788086762,316.129711635
253,6,72.7272827591,-1000,80.4269627373,188.440101185,107.949509988,316.129711635
254,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,285.833829424
255,6,72.7272827591,-1000,88.8276150856,157.195299519,107.949509988,316.129711635
256,6,72.7272827591,-1000,88.8276150856,143.341061043,107.949509988,316.129711635
257,6,72.7272827591,-1000,80.4269627373,157.195299519,107.949509988,316.129711635
258,6,72.7272827591,-1000,88.8276150856,188.440101185,130.562632641,285.833829424
259,6,72.7272827591,-1000,80.4269627373,143.341061043,118.788086762,316.129711635
260,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,316.129711635
261,6,72.7272827591,-1000,80.4269627373,188.440101185,107.949509988,316.129711635
262,6,72.7272827591,-1000,88.8276150856,188.440101185,130.562632641,285.833829424
263,6,72.7272827591,-1000,80.4269627373,157.195299519,107.949509988,258.097726879
264,6,72.7272827591,-1000,80.4269627373,157.195299519,118.788086762,316.129711635
265,6,72.7272827591,-1000,80.4269627373,188.440101185,107.949509988,316.129711635
266,6,72.7272827591,-1000,80.4269627373,172.201474334,118.788086762,285.833829424
267,6,72.7272827591,-1000,88.8276150856,143.341061043,118.788086762,316.129711635
268,6,72.7272827591,-1000,80.4269627373,188.440101185,107.949509988,258.097726879
269,6,72.7272827591,-1000,88.8276150856,143.341061043,118.788086762,258.097726879
270,6,72.7272827591,-1000,80.4269627373,157.195299519,130.562632641,258.097726879
271,6,72.7272827591,-1000,80.4269627373,143.341061043,107.949509988,258.097726879
272,6,72.7272827591,-1000,88.8276150856,157.195299519,107.949509988,258.097726879
273,6,72.7272827591,-1000,80.4269627373,188.440101185,118.788086762,258.097726879
274,6,72.7272827591,-1000,80.4269627373,188.440101185,118.788086762,258.097726879
275,6,72.7272827591,-1000,88.8276150856,143.341061043,118.788086762,258.097726879
276,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,285.833829424
277,6,72.7272827591,-1000,88.8276150856,188.440101185,130.562632641,285.833829424
278,6,72.7272827591,-1000,88.8276150856,143.341061043,107.949509988,258.097726879
279,6,72.7272827591,-1000,80.4269627373,188.440101185,107.949509988,316.129711635
280,6,72.7272827591,-1000,80.4269627373,172.201474334,107.949509988,316.129711635
281,6,72.7272827591,-1000,88.8276150856,143.341061043,130.562632641,316.129711635
282,6,72.7272827591,-1000,80.4269627373,157.195299519,107.949509988,258.097726879
283,6,72.7272827591,-1000,88.8276150856,188.440101185,107.949509988,258.097726879
284,6,72.7272827591,-1000,88.8276150856,188.440101185,107.949509988,258.097726879
285,6,72.7272827591,-1000,80.4269627373,188.440101185,107.949509988,285.833829424
286,6,72.7272827591,-1000,88.8276150856,143.341061043,118.788086762,285.833829424
287,6,72.7272827591,-1000,88.8276150856,188.440101185,107.949509988,285.833829424
288,6,72.7272827591,-1000,88.8276150856,157.195299519,107.949509988,258.097726879
289,6,72.7272827591,-1000,80.4269627373,157.195299519,130.562632641,316.129711635
290,6,72.7272827591,-1000,88.8276150856,188.440101185,107.949509988,285.833829424
291,6,72.7272827591,-1000,88.8276150856,188.440101185,107.949509988,316.129711635
292,6,72.7272827591,-1000,88.8276150856,188.440101185,107.949509988,258.097726879
293,6,72.7272827591,-1000,80.4269627373,157.195299519,118.788086762,258.097726879
294,6,72.7272827591,-1000,88.8276150856,143.341061043,107.949509988,285.833829424
295,6,72.7272827591,-1000,80.4269627373,188.440101185,107.949509988,258.097726879
296,6,72.7272827591,-1000,80.4269627373,143.341061043,107.949509988,258.097726879
297,6,72.7272827591,-1000,80.4269627373,172.201474334,130.562632641,258.097726879
298,6,72.7272827591,-1000,80.4269627373,188.440101185,107.949509988,258.097726879
299,6,72.7272827591,-1000,80.4269627373,157.195299519,130.562632641,258.097726879
300,6,72.7272827591,-1000,88.8276150856,172.201474334,130.562632641,316.129711635
301,6,72.7272827591,-1000,80.4269627373,143.341061043,130.562632641,316.129711635
302,6,72.7272827591,-1000,80.4269627373,143.341061043,107.949509988,285.833829424
303,6,72.7272827591,-1000,80.4269627373,172.201474334,130.562632641,316.129711635
304,6,72.7272827591,-1000,80.4269627373,172.201474334,130.562632641,316.129711635
305,6,72.7272827591,-1000,88.8276150856,188.440101185,130.562632641,316.129711635
306,6,72.7272827591,-1000,88.8276150856,188.440101185,130.562632641,258.097726879
307,6,72.7272827591,-1000,80.4269627373,172.201474334,130.562632641,316.129711635
308,6,72.7272827591,-1000,80.4269627373,172.201474334,130.562632641,285.833829424
309,6,72.7272827591,-1000,80.4269627373,143.341061043,130.562632641,285.833829424
310,6,72.7272827591,-1000,80.4269627373,157.195299519,130.562632641,258.097726879
311,6,72.7272827591,-1000,88.8276150856,188.440101185,130.562632641,285.833829424
312,6,72.7272827591,-1000,80.4269627373,188.440101185,130.562632641,258.097726879
313,7,291.270683048,-1000,405.770600684,316.866291585,47.9747261536,416.579333642
314,7,399.414435564,-1000,405.770600684,245.425873323,47.9747261536,416.579333642
315,7,399.414435564,-1000,405.770600684,245.425873323,47.9747261536,416.579333642
316,7,399.414435564,-1000,405.770600684,316.866291585,47.9747261536,416.579333642
317,7,344.39823094,-1000,405.770600684,316.866291585,47.9747261536,416.579333642
318,7,344.39823094,-1000,405.770600684,172.201474334,47.9747261536,416.579333642
319,7,316.866291585,-1000,405.770600684,172.201474334,47.9747261536,316.129711635
320,7,316.866291585,-1000,405.770600684,245.425873323,47.9747261536,316.129711635
321,7,399.414435564,-1000,405.770600684,316.866291585,47.9747261536,349.183705405
322,7,291.270683048,-1000,405.770600684,316.866291585,47.9747261536,416.579333642
323,7,399.414435564,-1000,405.770600684,172.201474334,43.0822377445,416.579333642
324,7,316.866291585,-1000,405.770600684,172.201474334,47.9747261536,416.579333642
325,7,316.866291585,-1000,405.770600684,316.866291585,47.9747261536,316.129711635
326,7,316.866291585,-1000,405.770600684,224.95990907,43.0822377445,349.183705405
327,7,373.989775085,-1000,405.770600684,172.201474334,43.0822377445,349.183705405
328,7,373.989775085,-1000,405.770600684,188.440101185,43.0822377445,385.206649881
329,7,399.414435564,-1000,405.770600684,316.866291585,43.0822377445,385.206649881
330,7,344.39823094,-1000,405.770600684,316.866291585,47.9747261536,385.206649881
331,7,316.866291585,-1000,405.770600684,188.440101185,47.9747261536,416.579333642
332,7,316.866291585,-1000,405.770600684,291.270683048,43.0822377445,349.183705405
333,7,399.414435564,-1000,405.770600684,316.866291585,43.0822377445,349.183705405
334,7,316.866291585,-1000,405.770600684,188.440101185,43.0822377445,316.129711635
335,7,316.866291585,-1000,405.770600684,205.996282157,47.9747261536,349.183705405
336,7,344.39823094,-1000,405.770600684,245.425873323,47.9747261536,349.183705405
337,7,344.39823094,-1000,405.770600684,316.866291585,47.9747261536,349.183705405
338,7,344.39823094,-1000,405.770600684,267.494282385,43.0822377445,316.129711635
339,7,291.270683048,-1000,405.770600684,267.494282385,43.0822377445,349.183705405
340,7,316.866291585,-1000,405.770600684,205.996282157,47.9747261536,349.183705405
341,7,291.270683048,-1000,405.770600684,205.996282157,47.9747261536,349.183705405
342,7,291.270683048,-1000,405.770600684,267.494282385,43.0822377445,349.183705405
343,7,316.866291585,-1000,405.770600684,316.866291585,47.9747261536,316.129711635
344,7,344.39823094,-1000,405.770600684,316.866291585,47.9747261536,316.129711635
345,7,373.989775085,-1000,405.770600684,316.866291585,47.9747261536,416.579333642
346,7,316.866291585,-1000,405.770600684,245.425873323,47.9747261536,349.183705405
347,7,399.414435564,-1000,405.770600684,267.494282385,47.9747261536,316.129711635
348,7,399.414435564,-1000,405.770600684,205.996282157,47.9747261536,385.206649881
349,7,399.414435564,-1000,405.770600684,205.996282157,43.0822377445,349.183705405
350,7,399.414435564,-1000,405.770600684,224.95990907,43.0822377445,349.183705405
351,7,399.414435564,-1000,405.770600684,245.425873323,43.0822377445,316.129711635
352,7,399.414435564,-1000,405.770600684,172.201474334,43.0822377445,316.129711635
353,7,399.414435564,-1000,405.770600684,245.425873323,47.9747261536,316.129711635
354,7,373.989775085,-1000,405.770600684,316.866291585,47.9747261536,416.579333642
355,7,344.39823094,-1000,405.770600684,267.494282385,43.0822377445,416.579333642
356,7,344.39823094,-1000,405.770600684,172.201474334,43.0822377445,416.579333642
357,7,344.39823094,-1000,405.770600684,267.494282385,47.9747261536,385.206649881
358,7,344.39823094,-1000,405.770600684,267.494282385,47.9747261536,416.579333642
359,7,399.414435564,-1000,405.770600684,316.866291585,47.9747261536,416.579333642
360,7,399.414435564,-1000,405.770600684,172.201474334,47.9747261536,349.183705405
361,7,399.414435564,-1000,405.770600684,316.866291585,47.9747261536,349.183705405
362,8,157.195299519,-1000,188.440101185,378.756898925,205.996282157,359.990588748
363,8,157.195299519,-1000,172.201474334,378.756898925,172.201474334,359.990588748
364,8,157.195299519,-1000,157.195299519,378.756898925,157.195299519,316.129711635
365,8,157.195299519,-1000,172.201474334,378.756898925,188.440101185,349.183705405
366,8,157.195299519,-1000,188.440101185,378.756898925,188.440101185,285.833829424
367,8,157.195299519,-1000,157.195299519,378.756898925,188.440101185,349.183705405
368,8,143.341061043,-1000,157.195299519,316.866291585,172.201474334,316.129711635
369,8,143.341061043,-1000,172.201474334,373.989775085,205.996282157,285.833829424
370,8,157.195299519,-1000,157.195299519,373.989775085,205.996282157,285.833829424
371,8,143.341061043,-1000,157.195299519,373.989775085,157.195299519,316.129711635
372,8,157.195299519,-1000,172.201474334,316.866291585,205.996282157,285.833829424
373,8,143.341061043,-1000,172.201474334,316.866291585,188.440101185,349.183705405
374,8,143.341061043,-1000,172.201474334,316.866291585,188.440101185,316.129711635
375,8,157.195299519,-1000,157.195299519,378.756898925,172.201474334,349.183705405
376,8,157.195299519,-1000,157.195299519,378.756898925,205.996282157,316.129711635
377,8,157.195299519,-1000,157.195299519,316.866291585,205.996282157,349.183705405
378,8,157.195299519,-1000,157.195299519,373.989775085,205.996282157,349.183705405
379,8,157.195299519,-1000,188.440101185,373.989775085,188.440101185,285.833829424
380,8,157.195299519,-1000,172.201474334,373.989775085,205.996282157,285.833829424
381,8,143.341061043,-1000,188.440101185,316.866291585,172.201474334,316.129711635
382,8,143.341061043,-1000,172.201474334,316.866291585,188.440101185,285.833829424
383,8,143.341061043,-1000,172.201474334,316.866291585,188.440101185,316.129711635
384,8,157.195299519,-1000,172.201474334,316.866291585,205.996282157,285.833829424
385,8,143.341061043,-1000,188.440101185,316.866291585,157.195299519,285.833829424
386,8,143.341061043,-1000,188.440101185,316.866291585,188.440101185,316.129711635
387,8,143.341061043,-1000,188.440101185,316.866291585,188.440101185,349.183705405
388,8,157.195299519,-1000,188.440101185,316.866291585,205.996282157,349.183705405
389,8,143.341061043,-1000,188.440101185,316.866291585,157.195299519,359.990588748
390,8,130.562632641,-1000,188.440101185,344.39823094,157.195299519,359.990588748
391,8,130.562632641,-1000,172.201474334,344.39823094,205.996282157,359.990588748
392,8,143.341061043,-1000,188.440101185,344.39823094,188.440101185,359.990588748
393,8,130.562632641,-1000,157.195299519,344.39823094,205.996282157,359.990588748
394,8,143.341061043,-1000,172.201474334,344.39823094,157.195299519,316.129711635
395,8,130.562632641,-1000,172.201474334,344.39823094,172.201474334,285.833829424
396,8,143.341061043,-1000,172.201474334,378.756898925,157.195299519,359.990588748
397,8,130.562632641,-1000,157.195299519,378.756898925,172.201474334,349.183705405
398,8,130.562632641,-1000,157.195299519,316.866291585,172.201474334,349.183705405
399,8,130.562632641,-1000,157.195299519,316.866291585,157.195299519,349.183705405
400,8,130.562632641,-1000,157.195299519,378.756898925,157.195299519,316.129711635
401,8,143.341061043,-1000,172.201474334,378.756898925,205.996282157,316.129711635
402,9,34.5863503949,-1000,88.8276150856,316.866291585,267.494282385,258.097726879
403,9,34.5863503949,-1000,88.8276150856,224.95990907,224.95990907,314.614917524
404,9,30.9165584616,-1000,88.8276150856,245.425873323,224.95990907,314.614917524
405,9,30.9165584616,-1000,80.4269627373,245.425873323,267.494282385,188.440101185
406,9,30.9165584616,-1000,80.4269627373,316.866291585,267.494282385,188.440101185
407,9,30.9165584616,-1000,80.4269627373,316.866291585,224.95990907,188.440101185
408,9,34.5863503949,-1000,80.4269627373,267.494282385,224.95990907,188.440101185
409,9,30.9165584616,-1000,80.4269627373,316.866291585,224.95990907,188.440101185
410,9,30.9165584616,-1000,80.4269627373,316.866291585,224.95990907,188.440101185
411,9,30.9165584616,-1000,80.4269627373,316.866291585,267.494282385,188.440101185
412,9,30.9165584616,-1000,80.4269627373,316.866291585,267.494282385,188.440101185
413,9,30.9165584616,-1000,80.4269627373,267.494282385,224.95990907,188.440101185
414,9,30.9165584616,-1000,80.4269627373,245.425873323,205.996282157,188.440101185
415,9,30.9165584616,-1000,80.4269627373,291.270683048,267.494282385,188.440101185
416,9,30.9165584616,-1000,88.8276150856,291.270683048,267.494282385,188.440101185
417,9,30.9165584616,-1000,80.4269627373,291.270683048,205.996282157,188.440101185
418,9,30.9165584616,-1000,80.4269627373,291.270683048,205.996282157,188.440101185
419,9,30.9165584616,-1000,80.4269627373,316.866291585,267.494282385,188.440101185
420,9,30.9165584616,-1000,88.8276150856,316.866291585,245.425873323,314.614917524
421,9,30.9165584616,-1000,88.8276150856,316.866291585,245.425873323,314.614917524
422,9,34.5863503949,-1000,80.4269627373,188.440101185,267.494282385,209.570538618
423,9,34.5863503949,-1000,80.4269627373,224.95990907,267.494282385,188.440101185
424,9,30.9165584616,-1000,80.4269627373,224.95990907,267.494282385,209.570538618
425,9,34.5863503949,-1000,88.8276150856,267.494282385,267.494282385,209.570538618
426,9,34.5863503949,-1000,80.4269627373,316.866291585,267.494282385,209.570538618
427,9,34.5863503949,-1000,80.4269627373,316.866291585,205.996282157,314.614917524
428,9,34.5863503949,-1000,88.8276150856,316.866291585,224.95990907,314.614917524
429,9,34.5863503949,-1000,80.4269627373,316.866291585,224.95990907,188.440101185
